,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Bubaque,GW,11.2833,-15.8333,76.73,72,4,14.03,clear sky
263,Salto,UY,-31.3833,-57.9667,73.99,100,100,3.0,overcast clouds
264,Cabo San Lucas,MX,22.8909,-109.9124,82.4,32,20,3.44,few clouds
265,Tual,ID,-5.6667,132.75,83.55,71,75,10.6,broken clouds
266,Abha,SA,18.2164,42.5053,62.6,26,0,4.61,clear sky
267,Esperance,AU,-33.8667,121.9,64.4,63,99,18.41,overcast clouds
268,Kutum,SD,14.2,24.6667,68.79,16,6,17.02,clear sky
269,Port-Cartier,CA,50.0334,-66.8654,37.4,48,20,4.61,few clouds
270,Hambantota,LK,6.1241,81.1185,75.2,100,20,2.3,few clouds
271,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,0,6.91,clear sky
272,Taos,US,36.4072,-105.5731,60.8,6,1,14.97,clear sky
273,Geraldton,AU,-28.7667,114.6,82.4,39,78,21.85,broken clouds
274,Flin Flon,CA,54.7682,-101.865,35.13,78,100,10.04,overcast clouds
275,Boa Vista,BR,2.8197,-60.6733,80.6,78,40,4.61,scattered clouds
276,Bermeo,ES,43.4209,-2.7215,53.6,94,75,2.3,light rain
277,Brae,GB,60.3964,-1.353,32.0,86,75,6.91,broken clouds
278,Rio Tercero,AR,-32.173,-64.1141,50.0,88,10,1.99,clear sky
279,Mandalgovi,MN,45.7625,106.2708,39.49,64,1,19.8,clear sky
280,Sistranda,NO,63.7256,8.834,33.8,93,75,14.97,light snow
281,Mnogovershinnyy,RU,53.9353,139.9242,34.14,94,100,4.09,overcast clouds
282,Provideniya,RU,64.3833,-173.3,3.7,86,100,22.64,overcast clouds
283,Port Lincoln,AU,-34.7333,135.8667,61.77,53,61,14.83,broken clouds
284,Coahuayana,MX,18.7333,-103.6833,71.06,76,69,1.97,broken clouds
285,Micheweni,TZ,-4.9667,39.8333,78.13,86,100,9.06,moderate rain
286,Rapid Valley,US,44.0625,-103.1463,60.8,23,1,16.11,clear sky
287,Arraial Do Cabo,BR,-22.9661,-42.0278,75.63,69,0,13.58,clear sky
288,Airai,TL,-8.9266,125.4092,72.73,54,96,2.08,overcast clouds
289,Paita,PE,-5.0892,-81.1144,70.93,81,33,10.49,scattered clouds
290,Pietersburg,ZA,-23.9045,29.4688,57.2,82,0,2.3,clear sky
291,Jinchang,CN,38.4953,102.1739,55.54,24,100,1.57,overcast clouds
292,Tura,IN,25.5198,90.2201,80.83,54,0,7.2,clear sky
293,Kargasok,RU,59.0556,80.8572,34.39,92,100,8.03,overcast clouds
294,Salalah,OM,17.0151,54.0924,80.6,74,40,2.3,scattered clouds
295,Margate,GB,51.3813,1.3862,41.0,71,100,4.0,overcast clouds
296,Sozimskiy,RU,59.7418,52.2482,31.69,97,66,2.93,broken clouds
297,Zheleznodorozhnyy,RU,55.7503,38.0042,36.0,74,0,4.47,clear sky
298,Bud,US,39.447,-86.1758,53.01,96,2,11.86,clear sky
299,San Pedro De Macoris,DO,18.4616,-69.2972,77.0,73,40,4.61,scattered clouds
300,Kyra,RU,49.5776,111.9753,28.78,76,100,5.86,light snow
301,Tautira,PF,-17.7333,-149.15,86.0,66,40,16.11,light rain
302,Alenquer,BR,-1.9417,-54.7383,78.8,94,40,3.44,moderate rain
303,Mayumba,GA,-3.432,10.6554,77.92,85,100,5.59,overcast clouds
304,Salta,AR,-24.7859,-65.4117,69.8,94,40,1.14,scattered clouds
305,Maputo,MZ,-25.9653,32.5892,71.01,94,0,3.44,clear sky
306,Huai Thalaeng,TH,14.997,102.6475,84.99,100,79,8.05,broken clouds
307,Aksu,CN,41.1231,80.2644,54.88,25,0,5.79,clear sky
308,Sorland,NO,67.667,12.6934,36.28,87,100,24.47,light rain
309,Mananjary,MG,-21.2167,48.3333,73.58,91,99,5.17,light rain
310,Buala,SB,-8.145,159.5921,84.92,67,98,8.12,overcast clouds
